CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
1321N1	0		-1	1	1	1	0	1	1	0	-1	1		-1	1	0		-1	1	1	0	0	0	1
22Rv1	0	1	-1	0	0	0	0	0	1	1	-1	0	-1	-1	1	-1	0	-1	-1	0	0	0	0	1
42-MG-BA	0		-1	0	0	0	0	0	0	-1	-1	0		-1	0	0		-1	0	0		0	0	0
5637	0	0	-1	1	0	1	0	1	1	0	-1	0	-1	-1	1	0	1	-1	0	0	0	0	0	0
639-V	0	0	-1	1	1	1	0	0	1	0	-1	1	-1	-1	1	-1	0	-1	0	1	0	0	0	1
697	0	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0
769-P	0	0	-1	0	0	0	-1	1	1	0	-1	1	0	-1	0	0	0	-1	0	1	-1	0	0	0
786-O	0	0	-1	1	0	1	1	0	1		-1	0	-1	-1	1	0	1	-1	1		0	0	0	1
8305C	0	0	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1
8505C	1	0	-1	1	1	1	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	0	1	0	0	0	1
8-MG-BA	0		-1	-1	0	0	0	0	1	0	-1	1		-1	-1	0		-1	1	1		0	0	0
A172	1	1	-1	1	1	1	1	1	1	0	-1	1	-1	-1	1	0	1	-1	1	1	0	0	0	1
A-204	0	0	-1	0	1	1	0	0	1	0	-1	-1	-1	-1	1	0	0	-1	1	1	-1	0	-1	1
A2058	0	1	-1	1	1	1	0	0	1	0	-1	1	-1	-1	0	-1	1	-1	0	0	0	0	0	1
A-253	0	1	-1	1	0	0	0	1	1	0	-1	1		-1	0	0	1	-1	0	1	0	0	1	0
A2780	0	1	-1	1	0	0	1	0	0	0	-1	0	-1	-1	1	-1	0	-1	-1	1	-1	0	0	1
A-375	0	0	-1	1	1	1	0	0	1	0	-1	0	-1	-1	1	-1	1	-1	-1	-1	-1	0	0	1
A549	0	0	-1	1	0	1	1	1	1	1	-1	0	0	0	1	-1	1	-1	0	1	0	0	0	1
A-673	0		-1	1	1	0	0	0	1	0	-1	1		-1	0	0	1	-1	0	0	0	0	0	1
ACHN	0		-1	1	0	1	0	1	1	0	-1	0		-1	1	0		-1	0	1	-1	0	0	0
ALL-SIL	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	0	-1	-1	-1	0
AMO-1	-1	0	-1	0	0	0	1	0	0	0	-1	0	-1	-1	0	-1	0	-1	0	1	0	-1	0	0
AN3 CA	1	1	-1	0	1	0	1	1	1	0	-1	1		0	0	0	0	-1	0	1	0	1	0	1
AsPC-1	0	1	-1	1	1	1	0	0	1	0	-1	1	-1	0	1	-1	1	-1	-1	1	0	0	0	1
AU565	0	0	-1	1	-1	1	1	0	0	0	-1	0		-1	0	1	0	-1	1	0	0	1	0	1
AZ-521	-1	0	-1	1	0	0	-1	0	0	0	-1	0	-1	-1	0	-1	0	-1	0	0	-1	-1	-1	0
B-CPAP	0	0	-1	0	1	0	0	0	1	0	-1	0	-1	-1	0	-1	1	-1	-1	0	-1	0	0	1
BDCM	1	1	-1	1	1	1	0	1	1	-1	-1	1		-1	1	-1	0	-1	0	1	0	1	0	1
BFTC-909	0	1	-1	1	1	1	1	1	1	0	-1			-1	1	0	1	-1	1	1	0	0	0	1
