	MaxAbsEStateIndex	MaxEStateIndex	MinAbsEStateIndex	MinEStateIndex	qed	MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxPartialCharge	MinPartialCharge	MaxAbsPartialCharge	MinAbsPartialCharge	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	BCUT2D_MWHI	BCUT2D_MWLOW	BCUT2D_CHGHI	BCUT2D_CHGLO	BCUT2D_LOGPHI	BCUT2D_LOGPLOW	BCUT2D_MRHI	BCUT2D_MRLOW	AvgIpc	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	HallKierAlpha	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	FractionCSP3	HeavyAtomCount	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	MolLogP	MolMR	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea
CIL55	12.262964747627446	12.262964747627446	0.015521786904062251	0.015521786904062251	0.9033058112502313	352.91200000000003	335.776	352.047082844	116	0	0.26092511551160513	-0.35005468789638544	0.35005468789638544	0.26092511551160513	1.3636363636363635	2.1818181818181817	2.9545454545454546	35.49569213563119	10.104634267175896	2.2169986285087098	-2.1488162158093607	2.458140351131778	-2.3034772693841687	7.983999489504212	0.09547975134060949	2.9038589857359223	1.8081066415706302	712.1665233793932	15.689869965382487	12.480644360218921	14.86956646809283	10.541713895658193	7.027299831132666	9.207359444723107	5.453346225728747	7.959157522341048	3.4488199358708473	5.997413191397216	2.3146572868364785	4.918112142689241	-1.0099999999999993	129303.03291684914	15.86938455379261	6.623660930071401	3.3254651522360246	143.210276334925	10.216698334856808	0.0	0.0	0.0	5.907179729351506	0.0	4.794537184071822	0.0	0.0	23.098670827325854	17.667306958694127	37.857896662436204	39.201081893229336	4.877147193701299	4.794537184071822	40.606790446909876	0.0	10.216698334856808	0.0	10.648337082264565	27.18485677717953	39.72870027298606	0.0	10.440598685398296	5.316788604006331	0.0	0.0	34.69961071755837	37.99194623738151	5.752853606746789	0.0	15.235135869470117	29.160951749364212	5.022633313741326	10.440598685398296	0.0	32.34	0.0	4.794537184071822	0.0	5.907179729351506	6.544756405912575	22.19739052010199	20.899533652613066	23.098670827325854	38.36081223920082	10.216698334856808	11.600939890232516	0.0	9.409072560796414	17.492447865687787	3.7317368805950366	2.4264569948349717	0.9085310461633216	7.982210333207357	0.0	1.503332132784243	3.9906566303753146	0.3125	22	1	3	0	1	1	1	1	2	4	1	6	4	0	0	0	3	3.965600000000003	95.21320000000003	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
BRD4132	12.313070046449965	12.313070046449965	0.16277551045512273	-0.2797340476849852	0.6529228471696382	385.4700000000001	370.35000000000014	385.05548334	132	0	0.2932954276081897	-0.4500149205344247	0.4500149205344247	0.2932954276081897	1.2307692307692308	2.0384615384615383	2.769230769230769	32.16786926050632	10.284331674967317	2.3637153775048816	-2.155546360268436	2.347671202552362	-2.340592449992997	8.180227836106585	-0.12335504072447337	3.259545428091133	1.5287678778716	1002.1672191870163	18.258784066134833	14.05447079683624	15.687463958691692	12.50804039084698	8.005703921883992	9.638697083739444	5.963427851981114	7.949810658703318	3.780340512164329	5.4713409373533715	2.5940652548020817	4.3045269978297505	-2.4499999999999997	1269035.5619732926	16.988496813389084	6.6949620493510285	3.17359845899144	157.58155805941803	9.401129458000556	5.760247418874442	10.24871588451593	0.0	11.146391442523793	0.0	14.48898409899412	4.9839785209472085	0.0	0.0	12.13273413692322	61.63671257200992	12.117860935981842	15.938537949122571	14.006225305196992	51.77958288337243	0.0	14.867866772744893	0.0	30.138031113045137	0.0	47.06358634353415	0.0	0.0	0.0	4.794537184071822	0.0	23.52376989878223	32.05609904441665	4.794537184071822	0.0	19.60772181825569	55.96920574622898	0.0	17.109421542066407	0.0	79.2	0.0	9.589074368143644	0.0	17.18823227167175	15.75766333545971	27.95172286644435	16.66179468024159	12.142387175295491	44.179309741689295	9.967957041894417	4.417150937053347	5.756004346182918	2.301580181582887	33.597242167899914	1.129912973882061	1.854887395922611	0.24606894635213616	11.212991335184489	1.6071192365835223	3.6275267497427977	0.0	0.16666666666666666	26	1	6	0	1	1	1	2	3	6	1	8	4	0	1	1	4	4.751800000000002	101.87070000000003	0	0	0	0	0	2	1	0	0	0	2	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BRD6340	4.703401675485009	4.703401675485009	0.8862585034013606	0.8862585034013606	0.5042543490203168	311.388	294.252	311.14224754400004	116	0	0.10851840268405862	-0.34192247186245794	0.34192247186245794	0.10851840268405862	0.75	1.375	2.0833333333333335	14.990903660513515	10.151961491516458	2.099884589665101	-2.0561044596092546	2.284001516787666	-2.0175051041426704	6.0744817014432115	0.72028279178295	3.186703758220396	1.579025229312034	1077.3161086361704	15.932510652501772	13.236843983648525	13.236843983648525	11.89897948556636	8.296259155178905	8.296259155178905	6.136582513998461	6.136582513998461	4.690495319115151	4.690495319115151	3.585949172495521	3.585949172495521	-3.0699999999999994	983416.7797868141	13.376400663936842	5.236606148633889	2.016935430357071	139.11131545913025	9.551078168738563	5.824404497999927	0.0	0.0	0.0	0.0	0.0	4.9839785209472085	0.0	0.0	48.53093654769288	24.26546827384644	34.7714278930007	11.033401435232523	0.0	32.83925129939463	0.0	14.53505668968577	0.0	12.965578028838586	0.0	78.62080931953926	0.0	0.0	0.0	0.0	0.0	0.0	14.53505668968577	12.965578028838586	0.0	5.824404497999927	72.79640482153933	0.0	32.83925129939463	0.0	33.61	0.0	0.0	0.0	0.0	0.0	29.823383962071034	21.805849864162113	0.0	12.13273413692322	70.21474885335466	4.9839785209472085	2.4006481481481483	0.0	8.133085789871505	2.634640757537583	4.716728395061729	1.039872448979592	25.444868564709832	0.8862585034013606	0.9105640589569161	0.0	0.09523809523809523	24	1	3	0	0	0	3	2	5	2	1	3	3	0	0	0	5	4.9135000000000035	99.24170000000002	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRD9876	9.037064554988662	9.037064554988662	0.078270345175107	0.078270345175107	0.6940477618169868	234.302	220.18999999999997	234.115698448	88	0	0.10053221360474143	-0.19238843378757015	0.19238843378757015	0.10053221360474143	0.8333333333333334	1.3888888888888888	1.8888888888888888	14.276850435121125	9.852915411384052	2.1394556321871248	-2.191083796036245	2.2714710021782256	-2.1006143732653353	5.86185681387426	0.5909116618944995	2.347357038681679	2.7316383915608378	691.8245704932827	13.336498814253966	10.781178536948048	10.781178536948048	8.452038268273206	5.839948005591796	5.839948005591796	5.433328505949596	5.433328505949596	3.0835661737499165	3.0835661737499165	1.949219228388262	1.949219228388262	-2.32	10316.634185005978	12.145239319335898	4.1658939645383875	2.0594938942814043	107.08787970054927	0.0	12.138442625584547	0.0	0.0	0.0	0.0	0.0	0.0	10.523783109476973	0.0	38.970312804456704	33.88362452694658	0.0	11.126902983393991	0.0	10.772448428929591	10.523783109476973	0.0	0.0	26.186202068468653	0.0	47.02218981739904	0.0	12.138442625584547	0.0	0.0	0.0	0.0	0.0	5.41499046939678	22.66222573506152	37.46156607416286	30.33183534230805	0.0	10.772448428929591	0.0	47.58	0.0	0.0	0.0	5.41499046939678	11.126902983393991	10.772448428929591	5.563451491696996	12.13273413692322	6.06636706846161	45.04238836157964	10.523783109476973	0.0	0.0	0.0	20.03948109567901	2.183053036029227	0.0	13.893481316137564	0.0	6.467317885487528	0.0	0.25	18	0	2	0	0	0	2	0	2	2	0	2	0	0	0	0	2	3.8806600000000033	72.07800000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betulinic acid	12.755135988823863	12.755135988823863	0.020228444428480152	-0.5377183009274005	0.43609774143169966	456.7110000000003	408.3270000000002	456.3603453959999	186	0	0.3094457065168938	-0.48081364076912236	0.48081364076912236	0.3094457065168938	0.8181818181818182	1.5151515151515151	2.1515151515151514	16.368328164573718	9.319736306913494	2.7148569012529666	-2.723184658671902	2.7705599382734727	-2.666293606133104	5.7588027594152305	-0.24767676006433362	3.1293786579500087	1.565191717645035	860.6030229407056	24.18986996538249	22.04495168965356	22.04495168965356	15.255160827992318	13.8245593720332	13.8245593720332	14.522878903259121	14.522878903259121	13.472202448686208	13.472202448686208	11.501728088914435	11.501728088914435	-0.8300000000000001	18890622.573240202	23.89063250911185	7.109935629798443	2.7520231225622642	201.3538031499366	10.213054789681411	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	46.77072621212088	122.38144553734483	0.0	11.518956857145081	15.007591973753234	5.969305287951849	0.0	0.0	56.66448257779085	111.85460581515214	0.0	12.152040213667764	0.0	0.0	0.0	0.0	0.0	0.0	22.286326465381563	4.794537184071822	56.66448257779085	105.75063942740384	12.152040213667764	0.0	0.0	0.0	57.53	11.384295757348628	15.007591973753234	0.0	33.681834311496814	23.671624184645573	38.524929737556064	31.256391021773304	0.0	0.0	48.12135888174224	0.0	0.0	0.0	12.755135988823863	21.383221283366435	1.354904876276856	1.7937493481029276	0.0	10.451061935015309	18.845259901747944	0.0	0.9	33	2	3	5	0	5	0	0	0	2	2	3	2	5	0	5	5	7.089500000000008	132.61160000000007	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gossypol	12.000586431953469	12.000586431953469	0.005120884773662571	-0.6611367813884044	0.1312357685384841	518.5620000000004	488.32200000000034	518.1940679199998	198	0	0.16875163932333942	-0.5066137520135031	0.5066137520135031	0.16875163932333942	0.5526315789473685	0.868421052631579	1.131578947368421	16.309535792155977	9.829832603013822	2.2927179156328688	-2.2281555519412892	2.537147465916222	-2.006550593982422	6.13743083239467	0.11090383901618435	2.828542129330573	2.2747434291531916	1554.0159185858968	28.37543250853871	21.963879769065226	21.963879769065226	17.791906535431785	12.181847460807912	12.181847460807912	10.273495469602024	10.273495469602024	7.2247590556496055	7.2247590556496055	5.6021295342562505	5.6021295342562505	-4.459999999999999	141736305.72085428	26.598740314728083	9.13110351007032	3.5105724335597293	218.58969424626113	30.63916436904423	11.49902366656781	35.57036837939473	0.0	0.0	0.0	9.589074368143644	0.0	0.0	0.0	39.827682935685715	47.58263790402762	33.02625439571757	11.126902983393991	40.22823873718787	34.11721790411829	0.0	0.0	0.0	53.37823529046652	0.0	45.513443087105195	0.0	45.62397398309742	0.0	0.0	34.49707099970343	0.0	43.21148541530334	0.0	13.847474399381248	82.50054420941089	12.13273413692322	0.0	32.671799841253176	0.0	155.51999999999998	34.49707099970343	40.22823873718787	0.0	44.862066488040355	45.598575441976685	0.0	0.0	53.675157335066956	0.0	0.0	0.0	0.0	0.0	24.001172863906937	66.37135146259577	1.3308785043453173	-3.572998573070305	3.3123652053413957	0.6818570514115254	10.54204015213603	0.0	0.26666666666666666	38	6	8	0	0	0	4	0	4	8	6	8	5	0	0	0	4	6.382240000000009	145.30579999999992	0	0	0	0	0	0	0	6	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chlorambucil	10.445114971741956	10.445114971741956	0.21465505589288036	-0.7434997981949645	0.7110607782360152	304.217	285.06499999999994	303.07928420800005	106	0	0.3028514950889796	-0.4812302517004031	0.4812302517004031	0.3028514950889796	1.105263157894737	1.6842105263157894	2.1578947368421053	35.496753216702224	10.077904079804169	2.050526411060422	-2.2255192109300483	2.163922582248727	-2.2695039429500627	6.182858986698474	-0.13660958946943036	2.38863171723266	2.5541826860485153	375.53728351524427	14.087575669810528	10.817752972546572	12.329610864583483	9.168233757796584	6.346789742822882	7.415834710472579	4.278751746303652	5.034680692322107	2.866448088083592	3.204509789974998	1.8912119006949002	2.2992884735074828	-0.9299999999999999	16338.240945871396	16.12534034311013	9.050250670878938	6.168099314738836	123.67306201087634	10.006437125691184	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	23.20187978046503	12.13273413692322	30.537828874472236	36.9577275993754	0.0	9.901064578912528	34.858571343100444	0.0	0.0	0.0	19.26246486877803	29.749429432616306	29.828919765543436	0.0	0.0	4.899909730850478	5.687386274683562	0.0	23.20187978046503	35.92535238455839	11.21535880699783	0.0	18.405094737549014	24.26546827384644	0.0	0.0	0.0	40.54	5.969305287951849	4.794537184071822	0.0	6.4208216229260096	18.180828512866686	30.76117220113172	0.0	0.0	24.26546827384644	4.899909730850478	28.30840717530574	0.0	11.54197397540101	12.585024557489836	8.594839721052537	2.2546125178466454	0.38993648694045513	8.142549445704208	1.6723402060846444	1.5409453117028875	0.0	0.5	19	1	3	0	0	0	1	0	1	2	1	5	9	0	0	0	1	3.3779000000000012	80.66880000000005	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fluorouracil	11.984814814814815	11.984814814814815	0.7070370370370369	-1.0011574074074068	0.482564502908463	130.07799999999997	127.054	130.017855556	48	0	0.3253471361874118	-0.3111557027192775	0.3253471361874118	0.3111557027192775	1.4444444444444444	2.111111111111111	2.5555555555555554	19.142219988403813	10.626560738634353	1.9303482220113939	-1.8066429483965114	1.7353535956112751	-2.2291167620156487	4.826193296330208	0.5965732097860823	1.7965675742516067	3.5238977189940166	312.83394095677266	6.8533711511285205	4.271811323126579	4.271811323126579	4.198377302757663	2.1745807961581027	2.1745807961581027	1.4198610557263855	1.4198610557263855	0.7739642065842111	0.7739642065842111	0.39336190970452906	0.39336190970452906	-1.3900000000000001	104.20091930659319	5.741406044678055	1.8479763724759504	1.042170728106469	48.359278684403755	4.9839785209472085	0.0	0.0	5.817220841045895	5.559266895052007	5.689743398203474	9.77851570501903	4.794537184071822	4.39041504767482	0.0	0.0	0.0	6.196843571613076	0.0	4.39041504767482	0.0	0.0	9.967957041894417	0.0	0.0	0.0	32.8521490740581	0.0	0.0	11.24901029325548	4.39041504767482	0.0	0.0	9.967957041894417	0.0	5.817220841045895	0.0	15.785917939756718	0.0	0.0	0.0	65.72	17.066231134301376	13.979489415818463	0.0	0.0	6.196843571613076	0.0	0.0	4.9839785209472085	4.9839785209472085	0.0	0.0	11.984814814814815	0.0	24.005000000000003	0.0	-1.7081944444444437	-0.9911111111111108	0.0	0.7094907407407409	0.0	0.0	0.0	9	2	4	0	0	0	0	1	1	2	2	5	0	0	0	0	1	-0.7977000000000001	27.641399999999997	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cimetidine	8.42713029529994	8.42713029529994	0.5037500000000004	0.5037500000000004	0.23465880975452968	252.347	236.219	252.11571551199998	92	0	0.20394285225588685	-0.3547517477349958	0.3547517477349958	0.20394285225588685	1.7058823529411764	2.5294117647058822	3.1176470588235294	32.16649129761496	10.38648272608045	2.0040520102627637	-2.057152521689608	2.1086010574470664	-2.351383385383551	7.980548373288183	0.9302640299085382	2.7307249421932687	2.130941030222901	405.1737761568005	12.510225400620904	9.948559689713006	10.765056270640732	8.274386907679233	5.1993650634680435	6.354065601847294	3.262609981657467	4.367781697180004	2.109848456823776	3.0802088940534382	1.1752178591245956	2.0503461820649704	-1.6800000000000002	8399.709922186494	13.38527415143603	7.570081043458362	4.7817848631942805	104.9255428821442	10.30076712495354	0.0	6.19315609577884	5.959554568743835	0.0	0.0	10.309193336642	4.9839785209472085	17.0237765041296	0.0	0.0	6.923737199690624	30.792063596931804	12.021248069613002	0.0	17.72143951813495	5.261891554738487	20.60153424990708	4.992404732635669	12.676590806437414	19.345281995336553	17.715176064461463	0.0	6.19315609577884	10.633577208012662	0.0	0.0	11.761884949391115	35.272793605974805	5.752853606746789	18.37878485020795	11.387855989696922	11.31972480740021	0.0	0.0	0.0	88.88999999999999	0.0	0.0	0.0	0.0	5.959554568743835	29.438319609103075	0.0	25.136877006832847	13.116893295469463	25.59393898254275	5.261891554738487	0.0	1.7850186602418743	11.151355513841084	13.923213350435574	2.210137058024414	2.3229183201058206	0.0	3.5357131029511084	2.7731323241086048	1.6318450036248557	0.5	17	3	6	0	0	0	0	1	1	4	3	7	5	0	0	0	1	0.5973999999999998	69.59710000000001	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
azacitidine	11.47087065381708	11.47087065381708	0.19630241139665694	-1.3499310279667422	0.4262474653048269	244.207	232.11099999999996	244.080769484	94	0	0.3537755335999937	-0.39356685384882617	0.39356685384882617	0.3537755335999937	1.4705882352941178	2.176470588235294	2.7058823529411766	16.563082588799976	10.129409323196068	2.4336567998313883	-2.155752475238546	2.2714058877031302	-2.3597184942724865	5.096429327413405	-0.05540120003217093	2.5654067136030916	2.3196952658217853	463.4739146948156	12.576985790260121	8.67098655025178	8.67098655025178	8.04091255785876	4.874101496834199	4.874101496834199	3.633272892075586	3.633272892075586	2.5367936290276383	2.5367936290276383	1.6397206934395896	1.6397206934395896	-1.55	7816.79425634862	11.921540359013681	4.372750406697864	2.0017705966337545	95.11685725053704	25.790112615484354	24.639219238009446	6.22790117073487	5.948339280986494	0.0	5.689743398203474	4.567099647791355	9.77851570501903	4.9839785209472085	0.0	0.0	0.0	0.0	6.606881964512918	20.056445138322168	5.948339280986494	0.0	14.53505668968577	0.0	24.539800333979777	12.340549441675103	16.811600657039836	0.0	0.0	11.423410875365658	5.948339280986494	0.0	0.0	54.773420001965704	4.736862953800049	0.0	6.22790117073487	11.121857258836364	0.0	0.0	0.0	143.72000000000003	36.83642569669616	15.007591973753234	0.0	5.948339280986494	0.0	10.894419722555895	0.0	0.0	0.0	9.967957041894417	15.577057825802939	6.036694066515495	0.0	18.427470238095236	28.089890925506005	4.456252204585538	-0.19630241139665694	0.0	-3.6744283824640975	-0.47290997417485503	0.0	0.625	17	5	9	0	1	1	0	1	1	9	4	9	2	0	1	1	2	-3.167999999999999	53.71380000000002	0	3	3	1	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
